CODE_PDV;RAISON_SOCIALE;COMMERCIAL;ID_UNIQUE
45145;FRANPRIX;111C;2AHG6C8BQ5I
75029;CARREFOUR EXPRESS;112C;2AHOA3MGUGI
75031;LE MARCHE D'A COTE;112C;2AHOA6XJGEK
75067;MONOP';112C;2AHOBUGVYUI
75070;G 20;112C;2AHOBZFI42P
75079;LE MARCHE D'A COTE;112C;2AHOCEBCB0W
75432;PROXI SUPER;112C;2AHOSISZ2K4
75479;CARREFOUR EXPRESS;112C;2AHOUMVOYGB
75526;FRANPRIX;112C;2AHOWSLYDOL
75536;CARREFOUR EXPRESS;112C;2AHOX95BT5B
75553;8 A HUIT;112C;2AHOY19GL4C
75554;8 A HUIT;112C;2AHOY2WZX3U
75560;CARREFOUR EXPRESS;112C;2AHOYCU8700
75563;G 20;112C;2AHOYHSU79H
75568;LE PANIER DES GOURMETS;112C;2AHOYQ2IZ0M
75569;DIAGONAL;112C;2AHOYRQ29H1
75571;CARREFOUR EXPRESS;112C;2AHOYV14W4C
75573;CARREFOUR EXPRESS;112C;2AHOYYC7L3Z
75574;8 A HUIT;112C;2AHOYZZQZEL
75685;LEADER PRICE;112C;2AHP43KEHFH
75a12;CARREFOUR EXPRESS;112C;2AHP5AKDKRF
75a15;CARREFOUR EXPRESS;112C;2AHP5FIZKY7
75a58;CARREFOUR EXPRESS;112C;2AHP7CZK12F
75a65;CARREFOUR EXPRESS;112C;2AHP7OKBHRT
75a74;LEADER PRICE EXPRESS;112C;2AHP83G5MP5
75a75;CASINO SHOP;112C;2AHP853P05R
75a76;PETIT CASINO;112C;2AHP86R8B4Q
75aba;DIAGONAL;112C;GMDDKXO8BO
75b61;MONOP';112C;2AHPBV286LK
75b69;MONOP';112C;2B37J1OK9WR
75b71;MONOP';112C;2COYRLCDVWQ
75b76;MONOP';112C;2BQQI0J1Y14
75b80;DIAGONAL;112C;2BBQPH96UMJ
75b82;CASINO SHOP;112C;8FWVZVTDQQ
75b84;FRANPRIX NANO;112C;9K3213H63
75b88;MONOP';112C;O4KZTFYAD
75b90;FRANPRIX;112C;64NPHSNXF0
75c02;U EXPRESS;112C;3Z4REYYB0H
75c07;FRANPRIX;112C;2C1GYAOABIY
75c55;CARREFOUR EXPRESS;112C;2CIII4Q78B6
75d30;MY AUCHAN;112C;2AHPDFAHVCL
77006;CARREFOUR;111C;2AHPSYA55ZG
77007;CARREFOUR;111C;2AHPSZXOMZO
77009;CARREFOUR;111C;2AHPT38RAXN
77020;CENTRE LECLERC;111C;2AHPTJS4NZI
77152;CARREFOUR MARKET;111C;2AHPXMYYNZA
77276;INTERMARCHE SUPER;111C;2AHQ1RTBWH7
77280;INTERMARCHE SUPER;111C;2AHQ1YFH81Y
77289;SUPER U;111C;2AHQ2DBBGZQ
77304;FRANPRIX;111C;2AHQ324DIK2
77428;FRANPRIX;111C;2AHQ4RB9CVP
77438;E. LECLERC DRIVE;111C;2B5EWNPOMQ1
77482;CARREFOUR CITY;111C;2AHQ5YB8IQT
77505;E. LECLERC DRIVE;111C;2AHQ70CLGBD
78115;CARREFOUR CITY;111C;2AHQB8I1F47
78331;FRANPRIX;111C;2AHQI4KND03
78409;CARREFOUR EXPRESS;111C;2AHQIMRKA4V
78512;COCCINELLE;112C;2AHQK0DOKCY
78561;COCCINELLE;112C;2AHQKZ3YUTR
78586;DAILY MONOP;112C;2AHQM2SV927
78627;CASINO SHOP;111C;2AHQNVATVI3
78a01;COCCINELLE EXPRESS;111C;2AYJI2S5KIR
78a18;CARREFOUR EXPRESS;111C;GMDDKXO8BP
91001;CARREFOUR;112C;2AHT2TZ5SDM
91004;CENTRE LECLERC;112C;2AHT2XA8EJT
91006;CARREFOUR;112C;2AHT30LB8RZ
91008;CENTRE LECLERC;112C;2AHT33WDREI
91015;AUCHAN;112C;2AHT3FH59WH
91016;SUPER U;112C;2AHT3H4ON8H
91019;INTERMARCHE SUPER;112C;2AHT3M3AQ4A
91021;MARKET;112C;2AHT3PEDCWZ
91061;MONOPRIX;112C;2AHT45XQUE0
91086;CARREFOUR DRIVE;112C;2AHT57Z3QGE
91110;CARREFOUR CITY;112P;2AHT5MUXZAJ
91114;INTERMARCHE SUPER;112C;2AHT5Q60QFA
